id,fichier,annee_missing,metadata_missing
ENPC00_AR_LEESU_0067,docs/ENPC00_AR_LEESU_0067.pdf,True,False
ENPC00_AR_LEESU_0068,docs/ENPC00_AR_LEESU_0068.pdf,True,False
ENPC00_AR_LEESU_0069,docs/ENPC00_AR_LEESU_0069.pdf,True,False
ENPC00_AR_LEESU_0070,docs/ENPC00_AR_LEESU_0070.pdf,True,False
ENPC00_AR_LEESU_0071,docs/ENPC00_AR_LEESU_0071.pdf,True,False
ENPC00_OUV_LEESU_0001,docs/ENPC00_OUV_LEESU_0001.pdf,True,False
ENPC00_OUV_LEESU_0008,docs/ENPC00_OUV_LEESU_0008.pdf,True,True
ENPC00_OUV_LEESU_0009,docs/ENPC00_OUV_LEESU_0009.pdf,True,True
ENPC00_OUV_LEESU_0025,docs/ENPC00_OUV_LEESU_0025.pdf,True,True
ENPC00_OUV_LEESU_0027,docs/ENPC00_OUV_LEESU_0027.pdf,True,False
ENPC00_OUV_LEESU_0028,docs/ENPC00_OUV_LEESU_0028.pdf,True,False
ENPC00_OUV_LEESU_0029,docs/ENPC00_OUV_LEESU_0029.pdf,True,False
ENPC00_OUV_LEESU_0030,docs/ENPC00_OUV_LEESU_0030.pdf,True,True
ENPC00_OUV_LEESU_0031,docs/ENPC00_OUV_LEESU_0031.pdf,True,False
ENPC00_OUV_LEESU_0032,docs/ENPC00_OUV_LEESU_0032.pdf,True,True
ENPC00_OUV_LEESU_0033,docs/ENPC00_OUV_LEESU_0033.pdf,True,True
ENPC00_OUV_LEESU_0034,docs/ENPC00_OUV_LEESU_0034.pdf,True,True
ENPC00_RA_LEESU_0003,docs/ENPC00_RA_LEESU_0003.pdf,True,True
ENPC00_RA_LEESU_0004,docs/ENPC00_RA_LEESU_0004.pdf,True,False
ENPC00_RA_LEESU_0005,docs/ENPC00_RA_LEESU_0005.pdf,True,False
ENPC00_RA_LEESU_0006,docs/ENPC00_RA_LEESU_0006.pdf,True,False
ENPC00_RA_LEESU_0008,docs/ENPC00_RA_LEESU_0008.pdf,True,False
ENPC00_RA_LEESU_0009,docs/ENPC00_RA_LEESU_0009.pdf,True,False
ENPC00_RA_LEESU_0010,docs/ENPC00_RA_LEESU_0010.pdf,True,False
ENPC00_RA_LEESU_0014,docs/ENPC00_RA_LEESU_0014.pdf,True,False
ENPC00_RA_LEESU_0017,docs/ENPC00_RA_LEESU_0017.pdf,True,True
ENPC00_RA_LEESU_0020,docs/ENPC00_RA_LEESU_0020.pdf,True,True
ENPC00_RA_LEESU_0023,docs/ENPC00_RA_LEESU_0023.pdf,True,True
ENPC00_RA_LEESU_0024,docs/ENPC00_RA_LEESU_0024.pdf,True,True
ENPC00_RA_LEESU_0026,docs/ENPC00_RA_LEESU_0026.pdf,True,True
ENPC00_RA_LEESU_0029,docs/ENPC00_RA_LEESU_0029.pdf,True,False
ENPC00_TH_LEESU_0002,docs/ENPC00_TH_LEESU_0002.pdf,True,True
ENPC00_TH_LEESU_0007,docs/ENPC00_TH_LEESU_0007.pdf,True,False
ENPC00_TH_LEESU_0009,docs/ENPC00_TH_LEESU_0009.pdf,True,True
ENPC00_TH_LEESU_0012,docs/ENPC00_TH_LEESU_0012.pdf,True,True
ENPC00_TH_LEESU_0017,docs/ENPC00_TH_LEESU_0017.pdf,True,True
ENPC00_TH_LEESU_0024,docs/ENPC00_TH_LEESU_0024.pdf,True,True
ENPC00_TH_LEESU_0027,docs/ENPC00_TH_LEESU_0027.pdf,True,False
ENPC00_TH_LEESU_0029,docs/ENPC00_TH_LEESU_0029.pdf,True,False
ENPC00_TH_LEESU_0032,docs/ENPC00_TH_LEESU_0032.pdf,True,False
ENPC00_TH_LEESU_0036,docs/ENPC00_TH_LEESU_0036.pdf,True,False
